"","estado","nome","partido","coligacao","votos","porcentagem","cargo","ano","turno","estados_sigla","UF"
"1","Rondônia","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",75532,0.11,"Presidente",1989,"Turno 1","RO","RO"
"2","Acre","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",22954,0.03,"Presidente",1989,"Turno 1","AC","AC"
"3","Amazonas","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",125406,0.19,"Presidente",1989,"Turno 1","AM","AM"
"4","Roraima","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",5417,0.01,"Presidente",1989,"Turno 1","RR","RR"
"5","Pará","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",294981,0.44,"Presidente",1989,"Turno 1","PA","PA"
"6","Amapá","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",21026,0.03,"Presidente",1989,"Turno 1","AP","AP"
"7","Tocantins","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",27888,0.04,"Presidente",1989,"Turno 1","TO","TO"
"8","Maranhão","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",255586,0.38,"Presidente",1989,"Turno 1","MA","MA"
"9","Piauí","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",219406,0.32,"Presidente",1989,"Turno 1","PI","PI"
"10","Ceará","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",321526,0.48,"Presidente",1989,"Turno 1","CE","CE"
"11","R. G. do Norte","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",239010,0.35,"Presidente",1989,"Turno 1","RN","RN"
"12","Paraíba","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",313895,0.46,"Presidente",1989,"Turno 1","PB","PB"
"13","Pernambuco","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",950189,1.41,"Presidente",1989,"Turno 1","PE","PE"
"14","Alagoas","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",76227,0.11,"Presidente",1989,"Turno 1","AL","AL"
"15","Sergipe","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",108002,0.16,"Presidente",1989,"Turno 1","SE","SE"
"16","Bahia","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",1050444,1.55,"Presidente",1989,"Turno 1","BA","BA"
"17","Minas Gerais","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",1792789,2.65,"Presidente",1989,"Turno 1","MG","MG"
"18","Espírito Santo","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",264983,0.39,"Presidente",1989,"Turno 1","ES","ES"
"19","Rio de Janeiro","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",904223,1.34,"Presidente",1989,"Turno 1","RJ","RJ"
"20","São Paulo","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",2921970,4.32,"Presidente",1989,"Turno 1","SP","SP"
"21","Paraná","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",353907,0.52,"Presidente",1989,"Turno 1","PR","PR"
"22","Santa Catarina","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",255015,0.38,"Presidente",1989,"Turno 1","SC","SC"
"23","R. G. do Sul","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",350062,0.52,"Presidente",1989,"Turno 1","RS","RS"
"24","M. G. do Sul","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",73697,0.11,"Presidente",1989,"Turno 1","MS","MS"
"25","Mato Grosso","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",76700,0.11,"Presidente",1989,"Turno 1","MT","MT"
"26","Goiás","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",298261,0.44,"Presidente",1989,"Turno 1","GO","GO"
"27","Distrito Federal","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",220720,0.33,"Presidente",1989,"Turno 1","DF","DF"
"28","Rondônia","Mário Covas","PSDB","PSDB",13718,0.02,"Presidente",1989,"Turno 1","RO","RO"
"29","Acre","Mário Covas","PSDB","PSDB",3716,0.01,"Presidente",1989,"Turno 1","AC","AC"
"30","Amazonas","Mário Covas","PSDB","PSDB",36380,0.05,"Presidente",1989,"Turno 1","AM","AM"
"31","Roraima","Mário Covas","PSDB","PSDB",2944,0,"Presidente",1989,"Turno 1","RR","RR"
"32","Pará","Mário Covas","PSDB","PSDB",101282,0.15,"Presidente",1989,"Turno 1","PA","PA"
"33","Amapá","Mário Covas","PSDB","PSDB",3695,0.01,"Presidente",1989,"Turno 1","AP","AP"
"34","Tocantins","Mário Covas","PSDB","PSDB",9739,0.01,"Presidente",1989,"Turno 1","TO","TO"
"35","Maranhão","Mário Covas","PSDB","PSDB",44154,0.07,"Presidente",1989,"Turno 1","MA","MA"
"36","Piauí","Mário Covas","PSDB","PSDB",48763,0.07,"Presidente",1989,"Turno 1","PI","PI"
"37","Ceará","Mário Covas","PSDB","PSDB",477286,0.71,"Presidente",1989,"Turno 1","CE","CE"
"38","R. G. do Norte","Mário Covas","PSDB","PSDB",56768,0.08,"Presidente",1989,"Turno 1","RN","RN"
"39","Paraíba","Mário Covas","PSDB","PSDB",94774,0.14,"Presidente",1989,"Turno 1","PB","PB"
"40","Pernambuco","Mário Covas","PSDB","PSDB",101093,0.15,"Presidente",1989,"Turno 1","PE","PE"
"41","Alagoas","Mário Covas","PSDB","PSDB",67240,0.1,"Presidente",1989,"Turno 1","AL","AL"
"42","Sergipe","Mário Covas","PSDB","PSDB",39499,0.06,"Presidente",1989,"Turno 1","SE","SE"
"43","Bahia","Mário Covas","PSDB","PSDB",248803,0.37,"Presidente",1989,"Turno 1","BA","BA"
"44","Minas Gerais","Mário Covas","PSDB","PSDB",799227,1.18,"Presidente",1989,"Turno 1","MG","MG"
"45","Espírito Santo","Mário Covas","PSDB","PSDB",118048,0.17,"Presidente",1989,"Turno 1","ES","ES"
"46","Rio de Janeiro","Mário Covas","PSDB","PSDB",643786,0.95,"Presidente",1989,"Turno 1","RJ","RJ"
"47","São Paulo","Mário Covas","PSDB","PSDB",3802330,5.62,"Presidente",1989,"Turno 1","SP","SP"
"48","Paraná","Mário Covas","PSDB","PSDB",325652,0.48,"Presidente",1989,"Turno 1","PR","PR"
"49","Santa Catarina","Mário Covas","PSDB","PSDB",177980,0.26,"Presidente",1989,"Turno 1","SC","SC"
"50","R. G. do Sul","Mário Covas","PSDB","PSDB",249384,0.37,"Presidente",1989,"Turno 1","RS","RS"
"51","M. G. do Sul","Mário Covas","PSDB","PSDB",50465,0.07,"Presidente",1989,"Turno 1","MS","MS"
"52","Mato Grosso","Mário Covas","PSDB","PSDB",33472,0.05,"Presidente",1989,"Turno 1","MT","MT"
"53","Goiás","Mário Covas","PSDB","PSDB",101514,0.15,"Presidente",1989,"Turno 1","GO","GO"
"54","Distrito Federal","Mário Covas","PSDB","PSDB",135227,0.2,"Presidente",1989,"Turno 1","DF","DF"
"55","Rondônia","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",136123,0.21,"Presidente",1989,"Turno 2","RO","RO"
"56","Acre","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",39695,0.06,"Presidente",1989,"Turno 2","AC","AC"
"57","Amazonas","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",197431,0.3,"Presidente",1989,"Turno 2","AM","AM"
"58","Roraima","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",12364,0.02,"Presidente",1989,"Turno 2","RR","RR"
"59","Pará","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",419656,0.63,"Presidente",1989,"Turno 2","PA","PA"
"60","Amapá","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",29926,0.05,"Presidente",1989,"Turno 2","AP","AP"
"61","Tocantins","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",62576,0.09,"Presidente",1989,"Turno 2","TO","TO"
"62","Maranhão","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",521854,0.79,"Presidente",1989,"Turno 2","MA","MA"
"63","Piauí","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",411812,0.62,"Presidente",1989,"Turno 2","PI","PI"
"64","Ceará","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",1119521,1.69,"Presidente",1989,"Turno 2","CE","CE"
"65","R. G. do Norte","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",482465,0.73,"Presidente",1989,"Turno 2","RN","RN"
"66","Paraíba","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",606446,0.92,"Presidente",1989,"Turno 2","PB","PB"
"67","Pernambuco","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",1509085,2.28,"Presidente",1989,"Turno 2","PE","PE"
"68","Alagoas","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",214890,0.32,"Presidente",1989,"Turno 2","AL","AL"
"69","Sergipe","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",208829,0.32,"Presidente",1989,"Turno 2","SE","SE"
"70","Bahia","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",1980907,2.99,"Presidente",1989,"Turno 2","BA","BA"
"71","Minas Gerais","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",3355121,5.07,"Presidente",1989,"Turno 2","MG","MG"
"72","Espírito Santo","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",473597,0.72,"Presidente",1989,"Turno 2","ES","ES"
"73","Rio de Janeiro","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",5228265,7.9,"Presidente",1989,"Turno 2","RJ","RJ"
"74","São Paulo","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",6739378,10.19,"Presidente",1989,"Turno 2","SP","SP"
"75","Paraná","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",1357994,2.05,"Presidente",1989,"Turno 2","PR","PR"
"76","Santa Catarina","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",1152730,1.74,"Presidente",1989,"Turno 2","SC","SC"
"77","R. G. do Sul","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",3366802,5.09,"Presidente",1989,"Turno 2","RS","RS"
"78","M. G. do Sul","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",215859,0.33,"Presidente",1989,"Turno 2","MS","MS"
"79","Mato Grosso","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",240486,0.36,"Presidente",1989,"Turno 2","MT","MT"
"80","Goiás","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",535142,0.81,"Presidente",1989,"Turno 2","GO","GO"
"81","Distrito Federal","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",451780,0.68,"Presidente",1989,"Turno 2","DF","DF"
"82","Rondônia","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",259418,0.41,"Presidente",1994,"Turno 1","RO","RO"
"83","Acre","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",90132,0.14,"Presidente",1994,"Turno 1","AC","AC"
"84","Amazonas","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",419742,0.66,"Presidente",1994,"Turno 1","AM","AM"
"85","Roraima","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",60693,0.1,"Presidente",1994,"Turno 1","RR","RR"
"86","Pará","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",809793,1.28,"Presidente",1994,"Turno 1","PA","PA"
"87","Amapá","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",76397,0.12,"Presidente",1994,"Turno 1","AP","AP"
"88","Tocantins","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",234699,0.37,"Presidente",1994,"Turno 1","TO","TO"
"89","Maranhão","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",785417,1.24,"Presidente",1994,"Turno 1","MA","MA"
"90","Piauí","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",476404,0.75,"Presidente",1994,"Turno 1","PI","PI"
"91","Ceará","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",1517698,2.4,"Presidente",1994,"Turno 1","CE","CE"
"92","R. G. do Norte","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",606681,0.96,"Presidente",1994,"Turno 1","RN","RN"
"93","Paraíba","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",761876,1.2,"Presidente",1994,"Turno 1","PB","PB"
"94","Pernambuco","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",1381756,2.18,"Presidente",1994,"Turno 1","PE","PE"
"95","Alagoas","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",525036,0.83,"Presidente",1994,"Turno 1","AL","AL"
"96","Sergipe","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",270984,0.43,"Presidente",1994,"Turno 1","SE","SE"
"97","Bahia","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",1951179,3.08,"Presidente",1994,"Turno 1","BA","BA"
"98","Minas Gerais","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",4536780,7.17,"Presidente",1994,"Turno 1","MG","MG"
"99","Espírito Santo","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",714958,1.13,"Presidente",1994,"Turno 1","ES","ES"
"100","Rio de Janeiro","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",3102664,4.9,"Presidente",1994,"Turno 1","RJ","RJ"
"101","São Paulo","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",8679287,13.71,"Presidente",1994,"Turno 1","SP","SP"
"102","Paraná","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",2382093,3.76,"Presidente",1994,"Turno 1","PR","PR"
"103","Santa Catarina","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",789001,1.25,"Presidente",1994,"Turno 1","SC","SC"
"104","R. G. do Sul","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",1422390,2.25,"Presidente",1994,"Turno 1","RS","RS"
"105","M. G. do Sul","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",512527,0.81,"Presidente",1994,"Turno 1","MS","MS"
"106","Mato Grosso","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",495956,0.78,"Presidente",1994,"Turno 1","MT","MT"
"107","Goiás","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",1171550,1.85,"Presidente",1994,"Turno 1","GO","GO"
"108","Distrito Federal","Fernando Henrique Cardoso","PSDB","PSDB PFL PTB",315106,0.5,"Presidente",1994,"Turno 1","DF","DF"
"109","Rondônia","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",89838,0.14,"Presidente",1994,"Turno 1","RO","RO"
"110","Acre","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",39656,0.06,"Presidente",1994,"Turno 1","AC","AC"
"111","Amazonas","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",161390,0.26,"Presidente",1994,"Turno 1","AM","AM"
"112","Roraima","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",11575,0.02,"Presidente",1994,"Turno 1","RR","RR"
"113","Pará","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",453794,0.72,"Presidente",1994,"Turno 1","PA","PA"
"114","Amapá","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",34623,0.05,"Presidente",1994,"Turno 1","AP","AP"
"115","Tocantins","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",54989,0.09,"Presidente",1994,"Turno 1","TO","TO"
"116","Maranhão","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",292057,0.46,"Presidente",1994,"Turno 1","MA","MA"
"117","Piauí","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",296077,0.47,"Presidente",1994,"Turno 1","PI","PI"
"118","Ceará","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",669425,1.06,"Presidente",1994,"Turno 1","CE","CE"
"119","R. G. do Norte","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",227252,0.36,"Presidente",1994,"Turno 1","RN","RN"
"120","Paraíba","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",311142,0.49,"Presidente",1994,"Turno 1","PB","PB"
"121","Pernambuco","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",949865,1.5,"Presidente",1994,"Turno 1","PE","PE"
"122","Alagoas","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",84929,0.13,"Presidente",1994,"Turno 1","AL","AL"
"123","Sergipe","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",211320,0.33,"Presidente",1994,"Turno 1","SE","SE"
"124","Bahia","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",1310823,2.07,"Presidente",1994,"Turno 1","BA","BA"
"125","Minas Gerais","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",1532740,2.42,"Presidente",1994,"Turno 1","MG","MG"
"126","Espírito Santo","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",331798,0.52,"Presidente",1994,"Turno 1","ES","ES"
"127","Rio de Janeiro","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",1689772,2.67,"Presidente",1994,"Turno 1","RJ","RJ"
"128","São Paulo","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",4205530,6.65,"Presidente",1994,"Turno 1","SP","SP"
"129","Paraná","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",898231,1.42,"Presidente",1994,"Turno 1","PR","PR"
"130","Santa Catarina","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",630999,1,"Presidente",1994,"Turno 1","SC","SC"
"131","R. G. do Sul","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",1610379,2.54,"Presidente",1994,"Turno 1","RS","RS"
"132","M. G. do Sul","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",179296,0.28,"Presidente",1994,"Turno 1","MS","MS"
"133","Mato Grosso","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",147307,0.23,"Presidente",1994,"Turno 1","MT","MT"
"134","Goiás","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",322907,0.51,"Presidente",1994,"Turno 1","GO","GO"
"135","Distrito Federal","Luiz Inácio Lula da Silva","PT","PT PPS PV PSTU",364541,0.58,"Presidente",1994,"Turno 1","DF","DF"
"136","Rondônia","Fernando Henrique Cardoso","PSDB","PSDB PFL PPB PTB PSD",323743,0.48,"Presidente",1998,"Turno 1","RO","RO"
"137","Acre","Fernando Henrique Cardoso","PSDB","PSDB PFL PPB PTB PSD",90363,0.13,"Presidente",1998,"Turno 1","AC","AC"
"138","Amazonas","Fernando Henrique Cardoso","PSDB","PSDB PFL PPB PTB PSD",452076,0.67,"Presidente",1998,"Turno 1","AM","AM"
"139","Roraima","Fernando Henrique Cardoso","PSDB","PSDB PFL PPB PTB PSD",71768,0.11,"Presidente",1998,"Turno 1","RR","RR"
"140","Pará","Fernando Henrique Cardoso","PSDB","PSDB PFL PPB PTB PSD",1020868,1.51,"Presidente",1998,"Turno 1","PA","PA"
"141","Amapá","Fernando Henrique Cardoso","PSDB","PSDB PFL PPB PTB PSD",68277,0.1,"Presidente",1998,"Turno 1","AP","AP"
"142","Tocantins","Fernando Henrique Cardoso","PSDB","PSDB PFL PPB PTB PSD",265393,0.39,"Presidente",1998,"Turno 1","TO","TO"
"143","Maranhão","Fernando Henrique Cardoso","PSDB","PSDB PFL PPB PTB PSD",736042,1.09,"Presidente",1998,"Turno 1","MA","MA"
"144","Piauí","Fernando Henrique Cardoso","PSDB","PSDB PFL PPB PTB PSD",482649,0.71,"Presidente",1998,"Turno 1","PI","PI"
"145","Ceará","Fernando Henrique Cardoso","PSDB","PSDB PFL PPB PTB PSD",804969,1.19,"Presidente",1998,"Turno 1","CE","CE"
"146","R. G. do Norte","Fernando Henrique Cardoso","PSDB","PSDB PFL PPB PTB PSD",525842,0.78,"Presidente",1998,"Turno 1","RN","RN"
"147","Paraíba","Fernando Henrique Cardoso","PSDB","PSDB PFL PPB PTB PSD",541067,0.8,"Presidente",1998,"Turno 1","PB","PB"
"148","Pernambuco","Fernando Henrique Cardoso","PSDB","PSDB PFL PPB PTB PSD",1637394,2.42,"Presidente",1998,"Turno 1","PE","PE"
"149","Alagoas","Fernando Henrique Cardoso","PSDB","PSDB PFL PPB PTB PSD",394873,0.58,"Presidente",1998,"Turno 1","AL","AL"
"150","Sergipe","Fernando Henrique Cardoso","PSDB","PSDB PFL PPB PTB PSD",297243,0.44,"Presidente",1998,"Turno 1","SE","SE"
"151","Bahia","Fernando Henrique Cardoso","PSDB","PSDB PFL PPB PTB PSD",1977801,2.92,"Presidente",1998,"Turno 1","BA","BA"
